"Inicio del informe","Fin del informe","Nombre del anuncio","Entrega del anuncio",Resultados,"Indicador de resultado","Costo por resultados","Presupuesto del conjunto de anuncios","Tipo de presupuesto del conjunto de anuncios","Importe gastado (USD)",Impresiones,Alcance,Finalización,"Configuración de atribución",Puja,"Tipo de puja","Último cambio significativo","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios"
2025-09-07,2026-02-15,,0,,,,0,0,6794.17,7739892,2243112,,"7 días tras clic o 1 día tras visualización",0,0,0,-,-,-,
2025-09-07,2026-02-15,Video,not_delivering,54,actions:onsite_conversion.messaging_conversation_started_7d,0.825,10,Diario,44.55,20997,13342,2025-09-16,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-09-07T11:23:41-0300,-,-,-,Whatsapp
2025-09-07,2026-02-15,"Hombre 1 barra",not_delivering,20,actions:onsite_conversion.messaging_conversation_started_7d,0.927,10,Diario,18.54,11857,7144,2025-09-16,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-09-07T11:23:41-0300,-,-,-,Whatsapp
2025-09-07,2026-02-15,"Mujer 2 anilla",not_delivering,284,actions:onsite_conversion.messaging_conversation_started_7d,1.14954225,30,Diario,326.47,238265,87646,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-12-23T16:00:30-0300,-,-,-,"WhatsApp SP"
2025-09-07,2026-02-15,"Nach polea",not_delivering,181,actions:onsite_conversion.messaging_conversation_started_7d,1.18060773,30,Diario,213.69,134420,65402,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-12-23T16:00:30-0300,-,-,-,"WhatsApp SP"
2025-09-07,2026-02-15,Video,not_delivering,1577,actions:link_click,0.05031072,15,Diario,79.34,79008,60966,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-10-03T19:00:44-0300,-,-,-,"turnos mañana whatsapp"
2025-09-07,2026-02-15,Video,not_delivering,266,actions:onsite_conversion.messaging_conversation_started_7d,0.93240602,15,Diario,248.02,85408,36785,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-10-16T17:15:52-0300,-,-,-,"turnos mañana whatsapp"
2025-09-07,2026-02-15,"Placa Tu cuerpo puede",not_delivering,169,actions:onsite_conversion.messaging_conversation_started_7d,0.99011834,20,Diario,167.33,74542,34052,2025-10-17,"7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-10-13T18:28:18-0300,-,-,-,"Mensajes mujeres WP"
2025-09-07,2026-02-15,"Nach polea",not_delivering,138,actions:onsite_conversion.messaging_conversation_started_7d,1.09376812,15,Diario,150.94,152933,85611,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-11-11T20:49:22-0300,-,-,-,"WhatsApp SP - Excluidos"
2025-09-07,2026-02-15,"Mujer 1 polea nueva",not_delivering,237,actions:onsite_conversion.messaging_conversation_started_7d,1.33620253,15,Diario,316.68,208343,107139,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-11-11T20:49:22-0300,-,-,-,"WhatsApp SP - Excluidos"
2025-09-07,2026-02-15,"Nach maman cajones",not_delivering,81,actions:onsite_conversion.messaging_conversation_started_7d,1.03975309,15,Diario,84.22,83023,57539,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-11-11T20:49:22-0300,-,-,-,"WhatsApp SP - Excluidos"
2025-09-07,2026-02-15,Video,not_delivering,299,actions:onsite_conversion.messaging_conversation_started_7d,1.26862876,10,Diario,379.32,190465,64568,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-11-03T18:13:39-0300,-,-,-,"Mensajes IG"
2025-09-07,2026-02-15,"Reel ingrid mdp",not_delivering,1158204,reach,0.21909784,15,Diario,253.76,1674092,1158204,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-11-09T18:30:42-0300,-,-,-,"Nuevo conjunto de anuncios de Reconocimiento"
2025-09-07,2026-02-15,"video tu cuerpo",not_delivering,7,actions:onsite_conversion.messaging_conversation_started_7d,0.58571429,20,Diario,4.1,2259,1941,"En curso","7 días tras clic o 1 día tras visualización",0,ABSOLUTE_OCPM,2025-12-01T14:36:55-0300,-,-,-,"Calistenia High ticket sucursales"
