"Nombre del anuncio",Día,"Nombre de la campaña","Nombre del conjunto de anuncios","Nombre de la página",Anuncios,Edad,Sexo,Objetivo,"Estado de la entrega","Nivel de la entrega","Tipo de resultado",Resultados,"Costo por resultado","Importe gastado (USD)",Impresiones,Alcance,"Configuración de atribución","Clasificación de calidad","Clasificación del porcentaje de interacción","Clasificación del porcentaje de conversiones","Nombre del conjunto de anuncios",Frecuencia,"Clics en el enlace","CPC (costo por clic en el enlace)","CPM (costo por mil impresiones)","CTR (todos)","Inicio del informe","Fin del informe"
Video,2026-01-08,"Preventa Mario Bravo - Nueva","Interacción a Whatsapp",eltemplomdp,Video,35-44,female,OUTCOME_ENGAGEMENT,not_delivering,ad,"Conversaciones con mensajes iniciadas",4,1.905,7.62,3933,3239,"7 días tras clic o 1 día tras visualización",-,-,-,"Interacción a Whatsapp",1.21426366,15,0.508,1.93745233,1.7035342,2026-01-08,2026-01-08
Video,2026-01-12,"Preventa Mario Bravo - Nueva","Interacción a Whatsapp",eltemplomdp,Video,35-44,female,OUTCOME_ENGAGEMENT,not_delivering,ad,"Conversaciones con mensajes iniciadas",4,1.8225,7.29,3214,2751,"7 días tras clic o 1 día tras visualización",-,-,-,"Interacción a Whatsapp",1.16830244,13,0.56076923,2.26820162,1.49346609,2026-01-12,2026-01-12
Video,2026-01-13,"Preventa Mario Bravo - Nueva","Interacción a Whatsapp",eltemplomdp,Video,35-44,female,OUTCOME_ENGAGEMENT,not_delivering,ad,"Conversaciones con mensajes iniciadas",7,1.02142857,7.15,3230,2627,"7 días tras clic o 1 día tras visualización",-,-,-,"Interacción a Whatsapp",1.2295394,17,0.42058824,2.21362229,1.98142415,2026-01-13,2026-01-13
Video,2026-01-19,"Preventa Mario Bravo - Nueva","Interacción a Whatsapp",eltemplomdp,Video,45-54,female,OUTCOME_ENGAGEMENT,not_delivering,ad,"Conversaciones con mensajes iniciadas",6,1.19,7.14,1844,1565,"7 días tras clic o 1 día tras visualización",-,-,-,"Interacción a Whatsapp",1.17827476,14,0.51,3.87201735,1.84381779,2026-01-19,2026-01-19
Video,2026-01-20,"Preventa Mario Bravo - Nueva","Interacción a Whatsapp",eltemplomdp,Video,45-54,female,OUTCOME_ENGAGEMENT,not_delivering,ad,"Conversaciones con mensajes iniciadas",10,0.688,6.88,1616,1452,"7 días tras clic o 1 día tras visualización",-,-,-,"Interacción a Whatsapp",1.11294766,15,0.45866667,4.25742574,1.98019802,2026-01-20,2026-01-20
"Reel de 26/12",2025-12-21,"El calamar loco - El Templo","Nuevo conjunto de anuncios de Tráfico",eltemplomdp,"Reel de 26/12",25-34,male,LINK_CLICKS,not_delivering,ad,"Clics en el enlace",90,0.07566667,6.81,18404,15711,"7 días tras clic o 1 día tras visualización",-,-,-,"Nuevo conjunto de anuncios de Tráfico",1.17140857,90,0.07566667,0.37002825,0.54336014,2025-12-21,2025-12-21
Video,2026-01-12,"Preventa Mario Bravo - Nueva","Interacción a Whatsapp",eltemplomdp,Video,45-54,female,OUTCOME_ENGAGEMENT,not_delivering,ad,"Conversaciones con mensajes iniciadas",2,3.365,6.73,2035,1742,"7 días tras clic o 1 día tras visualización",-,-,-,"Interacción a Whatsapp",1.16819747,10,0.673,3.30712531,1.17936118,2026-01-12,2026-01-12
Video,2026-01-10,"Preventa Mario Bravo - Nueva","Interacción a Whatsapp",eltemplomdp,Video,35-44,female,OUTCOME_ENGAGEMENT,not_delivering,ad,"Conversaciones con mensajes iniciadas",2,3.025,6.05,3102,2622,"7 días tras clic o 1 día tras visualización",-,-,-,"Interacción a Whatsapp",1.18306636,16,0.378125,1.95035461,1.67633785,2026-01-10,2026-01-10
"Reel de 26/12",2025-12-22,"El calamar loco - El Templo","Nuevo conjunto de anuncios de Tráfico",eltemplomdp,"Reel de 26/12",25-34,male,LINK_CLICKS,not_delivering,ad,"Clics en el enlace",71,0.08492958,6.03,14728,12285,"7 días tras clic o 1 día tras visualización",-,-,-,"Nuevo conjunto de anuncios de Tráfico",1.1988604,71,0.08492958,0.40942423,0.52960348,2025-12-22,2025-12-22
Video,2026-01-20,"Preventa Mario Bravo - Nueva","Interacción a Whatsapp",eltemplomdp,Video,35-44,female,OUTCOME_ENGAGEMENT,not_delivering,ad,"Conversaciones con mensajes iniciadas",7,0.84714286,5.93,2360,1934,"7 días tras clic o 1 día tras visualización",-,-,-,"Interacción a Whatsapp",1.22026887,12,0.49416667,2.51271186,1.39830508,2026-01-20,2026-01-20
Video,2026-01-19,"Preventa Mario Bravo - Nueva","Interacción a Whatsapp",eltemplomdp,Video,35-44,female,OUTCOME_ENGAGEMENT,not_delivering,ad,"Conversaciones con mensajes iniciadas",6,0.98833333,5.93,2660,2219,"7 días tras clic o 1 día tras visualización",-,-,-,"Interacción a Whatsapp",1.19873817,8,0.74125,2.22932331,1.12781955,2026-01-19,2026-01-19
Video,2026-01-22,"Preventa Mario Bravo - Nueva","Interacción a Whatsapp",eltemplomdp,Video,45-54,female,OUTCOME_ENGAGEMENT,not_delivering,ad,"Conversaciones con mensajes iniciadas",2,2.865,5.73,1647,1357,"7 días tras clic o 1 día tras visualización",-,-,-,"Interacción a Whatsapp",1.21370671,8,0.71625,3.47905282,1.33576199,2026-01-22,2026-01-22
Video,2026-01-24,"Preventa Mario Bravo - Nueva","Interacción a Whatsapp",eltemplomdp,Video,45-54,female,OUTCOME_ENGAGEMENT,not_delivering,ad,"Conversaciones con mensajes iniciadas",5,1.138,5.69,1783,1489,"7 días tras clic o 1 día tras visualización",-,-,-,"Interacción a Whatsapp",1.19744795,9,0.63222222,3.1912507,1.51430174,2026-01-24,2026-01-24
Video,2026-01-24,"Preventa Mario Bravo - Nueva","Interacción a Whatsapp",eltemplomdp,Video,35-44,female,OUTCOME_ENGAGEMENT,not_delivering,ad,"Conversaciones con mensajes iniciadas",1,5.69,5.69,2599,2200,"7 días tras clic o 1 día tras visualización",-,-,-,"Interacción a Whatsapp",1.18136364,13,0.43769231,2.18930358,1.26971912,2026-01-24,2026-01-24
Video,2026-01-08,"Preventa Mario Bravo - Nueva","Interacción a Whatsapp",eltemplomdp,Video,25-34,female,OUTCOME_ENGAGEMENT,not_delivering,ad,"Conversaciones con mensajes iniciadas",7,0.80857143,5.66,4535,3623,"7 días tras clic o 1 día tras visualización",-,-,-,"Interacción a Whatsapp",1.25172509,17,0.33294118,1.24807056,2.20507166,2026-01-08,2026-01-08
Video,2026-01-25,"Preventa Mario Bravo - Nueva","Interacción a Whatsapp",eltemplomdp,Video,45-54,female,OUTCOME_ENGAGEMENT,not_delivering,ad,"Conversaciones con mensajes iniciadas",3,1.83666667,5.51,1366,1209,"7 días tras clic o 1 día tras visualización",-,-,-,"Interacción a Whatsapp",1.12985939,7,0.78714286,4.03367496,1.53733529,2026-01-25,2026-01-25
Video,2026-01-10,"Preventa Mario Bravo - Nueva","Interacción a Whatsapp",eltemplomdp,Video,45-54,female,OUTCOME_ENGAGEMENT,not_delivering,ad,"Conversaciones con mensajes iniciadas",3,1.83,5.49,1901,1646,"7 días tras clic o 1 día tras visualización",-,-,-,"Interacción a Whatsapp",1.15492102,9,0.61,2.88795371,2.1567596,2026-01-10,2026-01-10
Video,2026-01-07,"Preventa Mario Bravo - Nueva","Interacción a Whatsapp",eltemplomdp,Video,35-44,female,OUTCOME_ENGAGEMENT,not_delivering,ad,"Conversaciones con mensajes iniciadas",8,0.685,5.48,2999,2602,"7 días tras clic o 1 día tras visualización",-,-,-,"Interacción a Whatsapp",1.15257494,14,0.39142857,1.82727576,1.8672891,2026-01-07,2026-01-07
"Reel de 26/12",2025-12-23,"El calamar loco - El Templo","Nuevo conjunto de anuncios de Tráfico",eltemplomdp,"Reel de 26/12",25-34,male,LINK_CLICKS,not_delivering,ad,"Clics en el enlace",97,0.0557732,5.41,13793,11992,"7 días tras clic o 1 día tras visualización",-,-,-,"Nuevo conjunto de anuncios de Tráfico",1.15018346,97,0.0557732,0.39222794,0.81925614,2025-12-23,2025-12-23
Video,2026-01-08,"Preventa Mario Bravo - Nueva","Interacción a Whatsapp",eltemplomdp,Video,45-54,female,OUTCOME_ENGAGEMENT,not_delivering,ad,"Conversaciones con mensajes iniciadas",7,0.74285714,5.2,2052,1749,"7 días tras clic o 1 día tras visualización",-,-,-,"Interacción a Whatsapp",1.17324185,13,0.4,2.53411306,2.77777778,2026-01-08,2026-01-08
Video,2026-01-16,"Preventa Mario Bravo - Nueva","Interacción a Whatsapp",eltemplomdp,Video,35-44,female,OUTCOME_ENGAGEMENT,not_delivering,ad,"Conversaciones con mensajes iniciadas",4,1.28936672,5.15746686,2355,2017,"7 días tras clic o 1 día tras visualización",-,-,-,"Interacción a Whatsapp",1.16757561,9,0.57305187,2.19000716,1.40127389,2026-01-16,2026-01-16
